feature,kind,is_shadow,overall_mean,overall_std,decision,drop_is_click_mean,drop_is_click_std,drop_is_like_mean,drop_is_like_std,drop_is_follow_mean,drop_is_follow_std,drop_is_comment_mean,drop_is_comment_std
is_live_streamer,categorical,False,0.0018856492392634872,0.0003746372300828777,通过,0.0013936122915146159,4.9687003240097996e-05,0.0023776861870123587,0.0006995874569256575,-0.0013855882803224622,0.0007235418728720033,0.0010978031911291024,0.0014131872338217397
outsite_share_all_cnt,numeric,False,0.0018518187060900433,0.0001277692605468762,通过,0.0024448614931232107,5.88406024033218e-05,0.001258775919056876,0.00019669791869043058,0.0025695072602864855,0.0006945177129556614,0.001202719016612212,0.0016592939275868767
onehot_feat10,categorical,False,0.0017620619925881598,9.832482079124853e-05,通过,0.0011759722478019707,9.593809270451475e-05,0.002348151737374349,0.0001007115488779823,0.003081111606563917,0.00044242373101889885,0.00024219618747201022,0.0022940980131792147
counts,numeric,False,0.0017324861013899109,0.00020959283017394747,通过,0.0009583702008609066,7.313567812664736e-05,0.0025066020019189152,0.0003460499822212476,0.000875809910119929,0.0014022221818179726,0.001361199565371063,0.000604951938324292
cancel_like_cnt,numeric,False,0.0015607688972775944,3.271899057546066e-05,通过,0.0013932371100701484,4.534666158770325e-05,0.0017283006844850402,2.009131956321807e-05,0.0034913917041153875,0.0028996997726693195,0.0053243474584778365,0.0008213243840157401
cancel_collect_user_num,numeric,False,0.001522996432905636,0.00032421477137616636,通过,0.0013915701850924316,0.00012235442654328033,0.0016544226807188405,0.0005260751162090525,0.0018323042668816718,0.0010719688856830317,0.0015491554316624152,0.0009258273374494504
onehot_feat9,categorical,False,0.0015019546632863794,0.000269104013150696,通过,0.001053525046859331,4.9277904028396545e-05,0.0019503842797134279,0.0004889301222729955,0.0023444278315468323,0.0022152432869380666,0.0010156123655644667,0.0008236274268965049
collect_cnt,numeric,False,0.0013931808643602994,0.0002481412327594537,通过,0.0003193867244461653,7.617462026386544e-05,0.0024669750042744334,0.0004201078452550419,0.0011459986142235608,0.001497011012118022,0.0016115368963115124,0.0005087179059177675
onehot_feat11,categorical,False,0.001392655242874315,0.00017283196162003672,通过,0.0019224126852399603,0.00011882647457380613,0.0008628978005086699,0.00022683744866626728,0.002195568965189317,0.0009063035666247046,0.026252598523159754,0.0023709683275326024
reply_comment_cnt,numeric,False,0.001370962000348604,0.000148760926836815,通过,0.002026976665221336,0.00010328384651535156,0.0007149473354758721,0.00019423800715827848,0.0006961289857790506,0.0026838660046912617,0.005980088823838418,0.000588391257103603
onehot_feat12,categorical,False,0.0013679979679579826,0.00026110274141122824,通过,0.0015005524267570254,7.973274564719255e-05,0.00123544350915894,0.0004424727371752639,0.0010725309547025736,0.002519493258564888,0.002879541693705856,0.00068328031304408
onehot_feat6,categorical,False,0.0013553075077523495,0.00020251561693588617,通过,0.0015814648283754378,0.0001331815404157244,0.0011291501871292613,0.00027184969345604796,0.0018561255883485412,0.0003546707006941705,0.0036385740527167623,0.0014549844047959672
share_user_num,numeric,False,0.001339931929745112,0.0001418731438093183,通过,0.0008551606994303684,0.00011562402101426765,0.0018247031600598558,0.00016812226660436897,-0.0012220658503703612,0.0006846041909197225,0.0047426142580236546,0.002966901315978218
show_cnt,numeric,False,0.0012561454997538912,2.5144717909364818e-05,通过,0.0009347519246879118,1.6091393220134617e-05,0.0015775390748198708,3.4198042598595014e-05,0.0009839571763170147,0.0012358265583594422,-0.0003838679358424413,0.0008266059017792701
upload_type,categorical,False,0.00098047898478378,0.00019781275398518658,不通过,0.0006652421431211364,2.6700718664445606e-05,0.0012957158264464235,0.00036892478930592755,-0.0029547429111758117,0.000683295637222791,0.00036232995012034735,0.0001239069006796665
hourmin,categorical,False,0.0009452209419318347,9.002356960234857e-05,不通过,0.0013044187392285596,7.90322003808693e-05,0.0005860231446351097,0.00010101493882382783,0.0006327111640449153,0.001122058678116756,0.000901981704537147,0.0013154019539571105
cancel_follow_cnt,numeric,False,0.0009427679876550058,0.0003531704408210924,不通过,0.0003539882498977039,2.808267083332443e-05,0.0015315477254123078,0.0006782582108088603,0.0017904705974537045,0.0009921833956966456,-0.0005478438507997563,0.0009748023270629807
reduce_similar_cnt,numeric,False,0.0009165312926976976,0.00026802312906687583,不通过,0.0005545364397763208,8.785207758361142e-05,0.0012785261456190744,0.0004481941805501403,-0.0006897694317011075,0.0017781855104584989,0.0021364066440549,5.9713219278306175e-05
comment_like_user_num,numeric,False,0.0008691372066913691,0.0002855562949701259,不通过,0.0009215060520083215,3.15339307346287e-05,0.0008167683613744167,0.0005395786592056231,-2.8968204411043235e-05,0.0013365490043153253,0.002164279775494493,0.0006622367162669172
cancel_collect_cnt,numeric,False,0.0008640034158555003,2.3103646904748037e-05,不通过,0.0011579439165826377,1.2315112965735493e-05,0.0005700629151283628,3.389218084376058e-05,0.0016836475123797785,7.51193412654648e-05,0.0014315523304399373,0.001588059917323005
share_all_user_num,numeric,False,0.0008426834086066777,7.345307317517511e-05,不通过,0.0007218120192889291,6.021219530059287e-05,0.0009635547979244263,8.669395104975736e-05,-0.0011179433978500224,0.001580712660119286,0.0005315238209632941,0.0007923206730671074
share_cnt,numeric,False,0.0008371060297662953,0.00024941787521354344,不通过,0.000612407100215188,8.312938973573762e-05,0.0010618049593174028,0.00041570636069134925,-0.0007841033979721542,0.0010772079358069113,-0.00037565508086449356,0.0014374792074672604
is_video_author,categorical,False,0.0007876482956594526,6.580701654291148e-05,不通过,0.000641234363361276,6.0247145096082665e-05,0.000934062227957629,7.13668879897403e-05,0.0024426681321309354,0.0011356203326977198,-0.0002357949916801383,0.0006845707827836116
follow_user_num1,numeric,False,0.0007854639938954522,0.0001133527162494433,不通过,0.0011059859902752267,0.00015770090984434568,0.00046494199751567766,6.90045226545409e-05,0.01143729734409756,0.0028770050754658876,0.001043115616586876,0.001432238992480512
follow_cnt,numeric,False,0.0007662761795566575,0.0001150455096823447,不通过,0.0007853110432320953,4.793086352613648e-05,0.0007472413158812197,0.00018216015583855292,0.017001882769506427,0.0012327045124541595,0.00033350947189784524,0.0015961564578669946
server_width,numeric,False,0.0007440120259291083,0.0002325406529614322,不通过,0.000500441415117329,0.0001326355076854521,0.0009875826367408875,0.0003324457982374123,-0.0009992723764115825,0.000931987031169766,0.0005070966162677252,0.0021723343116089346
comment_cnt,numeric,False,0.0007439146910249717,0.00011336370663021024,不通过,0.0008634462696066972,4.758868401949299e-05,0.0006243831124432461,0.0001791387292409275,0.0012075486436367762,0.001005977923760285,0.00996117780432478,0.001973585483635206
comment_like_cnt,numeric,False,0.0006534524683489511,0.000147354900118736,不通过,0.0005872587021131433,3.2198664406748896e-05,0.0007196462345847587,0.0002625111358307231,-0.0016978371585197511,0.0011024793089947065,0.004271884812776665,0.0007547016714003136
complete_play_cnt,numeric,False,0.0006376484004107693,0.00021303919378631527,不通过,0.0004462699201213856,0.00010387019064715958,0.000829026880700153,0.000322208196925471,0.0015021022804050748,0.000498030563843223,0.0011870141960407625,0.00013983217630070813
complete_play_user_num,numeric,False,0.0006229025534846463,0.0001448054952890797,不通过,0.0007127400516404222,0.00020193541465952334,0.0005330650553288704,8.767557591863607e-05,-0.00203394917442982,0.0012137707870184984,-0.00040386789840152204,0.00013104715461673857
download_cnt,numeric,False,0.0005770123585780069,0.00010051313340042885,不通过,0.00016346002144892088,4.624615860667893e-05,0.000990564695707093,0.00015478010819417877,-0.0012502500001689842,0.0008137548890296681,0.0002581784183564399,0.0002559373304292798
download_user_num,numeric,False,0.0005520848274639759,0.00011540355232017604,不通过,0.00020057432182825816,0.00011039941496924175,0.0009035953330996938,0.00012040768967111033,-0.0008448589187114441,0.00018079282254899323,0.003259661759606717,0.0017747973021516458
reply_comment_user_num,numeric,False,0.0005424996639198006,7.96033155945225e-05,不通过,0.00026120899067586895,1.0465883267279445e-05,0.0008237903371637323,0.00014874074792176555,-0.0010289444876301346,0.0018596814032614077,0.0008047125905363087,0.0012232582456635657
server_height,numeric,False,0.0005362449661546014,4.651433496611703e-05,不通过,0.0003651526990321452,3.454116513860322e-05,0.0007073372332770574,5.848750479363083e-05,-0.0017900594043681235,0.0005882758684441506,-0.0010932929146127979,0.001102402830359773
onehot_feat16,categorical,False,0.0005120063802744139,9.29378921382294e-05,不通过,0.00027185114924288545,5.001308813159511e-05,0.0007521616113059423,0.0001358626961448637,0.0016592547022176534,0.00037630443839049995,0.0016695175388539523,0.0002889995685460679
date,categorical,False,0.0005079228798854178,0.00015501749705542,不通过,0.0004965140673237242,0.00021487894234530053,0.0005193316924471114,9.515605176553952e-05,0.00334574920401202,0.002358562048066864,0.000684726025197017,0.001739684828022828
comment_user_num,numeric,False,0.0004902935036329806,0.00021815850413185695,不通过,0.0004101514762523036,2.5355082575236698e-05,0.0004176444551197515,0.0006287641931530619,0.0005389417170947874,0.0015225343279283955,0.0065963284703571086,0.0011889704652635756
delete_comment_user_num,numeric,False,0.0004819551093145358,0.00017751393438274248,不通过,0.00011870963528733587,8.906476391144674e-05,0.0008452005833417356,0.00026596310485403824,0.0005273237700833174,0.0012703358584256867,0.0035375816016589936,0.0010168236142185252
direct_comment_user_num,numeric,False,0.0004748966114037819,0.00022300149278432484,不通过,0.0003495905270099649,0.0001137301206863762,0.0006002026957975989,0.0003322728648822735,0.0030384764590877986,0.004037546053409562,0.0009856029860009958,0.0019230957865393064
comment_stay_duration,numeric,False,0.0004634383819326904,0.00010315725321570673,不通过,0.0008083317138080082,0.00012821391725060686,-6.20591077997723e-05,0.00014629455245733158,0.0033487077034159984,0.0023177452202153915,0.020203298656968904,0.0007423338065273874
onehot_feat14,categorical,False,0.0004567030256309076,0.0001516471531634613,不通过,0.000661020136964415,0.00012549620395160753,0.00025238591429740015,0.00017779810237531507,0.00024390022412323908,0.00010517991461568514,0.0014940526852232165,0.0005105974775525386
share_all_cnt,numeric,False,0.0004057338287177433,0.00011980496239048029,不通过,0.00037834243845003,3.3142650746780655e-05,0.0004331252189854566,0.00020646727403417992,0.0013121554676731595,0.00028799567167564765,0.0033084765389533124,0.0006215895838064627
report_user_num,numeric,False,0.00034598333886737276,0.000101239429249443,不通过,0.0005148290247699953,0.0001093220372992316,0.00017713765296475023,9.315682119965438e-05,0.00023616770330185202,0.0005287401156700911,-0.00011683692035802107,0.000688613519249997
cancel_follow_user_num,numeric,False,0.0003078973752333088,6.631569050957257e-05,不通过,0.0004302759565996128,9.682890444863258e-05,0.0001855187938670048,3.580247657051256e-05,0.0020597846450786106,0.00022442028245724493,0.00036685721094117013,0.0010067334745357199
direct_comment_cnt,numeric,False,0.00029314334853586255,8.430338430454005e-05,不通过,0.0003763891806566703,1.919225747390636e-05,0.0002098975164150548,0.00014941451113517374,0.0032426303413956026,0.0014224642013978583,0.006883689698773139,0.0017784170674183556
upload_dt,categorical,False,0.0002863806163288518,0.00016144397591453323,不通过,0.00014125483274674,9.270951515223109e-06,0.0003698128903219337,0.00041534313748952214,9.38077785089438e-05,0.0016757588727986119,0.00010290412892840124,0.0005733450838455688
delete_comment_cnt,numeric,False,0.0002735883059124533,0.00019896929821630748,不通过,0.00015636615986872973,4.6423115345105774e-05,0.00039081045195617686,0.0003515154810875092,0.0013908780354403942,0.0002197288574912423,0.00020624796263842468,0.00016765147913508927
fans_user_num,numeric,False,0.0002707758245275952,6.261272709954888e-05,不通过,0.00010490061450774135,8.524340764056417e-06,0.0004366510345474491,0.00011670111343504134,0.0012974570572068893,0.0021544732224972425,0.000696652781506916,0.0014508938927610244
report_cnt,numeric,False,0.00023706540209768775,7.53384363941883e-05,不通过,0.0004076625593361083,0.00013056258359815166,-9.989999406119962e-06,8.295737374961815e-05,0.0010161626551052905,0.0009241901688727286,0.00044366401186146653,0.00015757769946098138
onehot_feat15,categorical,False,0.00020424574282793911,6.0946151196938076e-05,不通过,0.00028296905599959715,4.4036604329439244e-05,7.991252482149787e-05,0.00014183198795160784,-0.0006323940575127714,5.34708898342001e-05,9.394207739114406e-05,0.00028431750549708513
onehot_feat13,categorical,False,0.0001643361029531702,0.00012074841030680663,不通过,0.00013296420122432817,2.4121338771389693e-05,0.0001957080046820122,0.00021737548184222355,0.0001461652031781909,0.0010472458357886508,0.0010835797793714574,6.330120537139613e-05
music_type,categorical,False,0.00013408621761729078,2.8674886049262054e-05,不通过,8.134382635379318e-05,2.7625059004707154e-05,-0.00018682860888078837,2.972471309381695e-05,-0.000609008321941662,7.527280385823147e-05,0.00016956752555023305,0.00032110534009082336
shadow_0,numeric,True,9.506367714886185e-05,6.205665312407033e-05,不通过,6.780294688516857e-05,6.311926989293038e-05,-7.495827290660007e-05,0.00013318051444726953,0.00034501539161927813,0.0004968796928069327,0.0002006620134805681,0.0008787300647060478
onehot_feat17,categorical,False,6.466290032941524e-05,3.5413802352737894e-05,不通过,6.256507723090277e-05,1.3400867305245741e-05,6.676072342792772e-05,5.7426737400230045e-05,-0.0003633343920509402,0.0005292621747081313,0.000851223165855286,0.0006620864373907557
video_type,categorical,False,2.9431460243626674e-05,1.9500557674793944e-05,不通过,-2.381179930603198e-06,2.4731732176110123e-05,-4.20890695579379e-05,2.4925587269783685e-05,-0.00012146225585836963,0.0003363763393767803,-0.00022069217035910102,0.00015511267276088533
onehot_feat5,categorical,False,2.1304185790567885e-05,9.880157448068752e-06,不通过,8.012367519312965e-06,4.565689654713803e-06,-9.937932780405372e-08,4.501318770560032e-05,-2.759872235480465e-05,3.324976011948596e-05,-8.295889357246011e-06,0.00012809059852773546
is_lowactive_period,categorical,False,0.0,0.0,不通过,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
visible_status,categorical,False,0.0,0.0,不通过,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
